"Table with row headers in columns A and B, and column headers in rows 4 through 5.",,,,,,,,,,,,,
"Table 4b.  Reported Voting and Registration, by Sex, Race and Hispanic Origin, for States:  November 2018",,,,,,,,,,,,,
(In thousands),,,,,,,,,,,,,
STATE,"Sex, Race, and Hispanic-Origin",Total population,Total citizen population,Total registered,"Percent registered
(Total)",Margin of error 1,"Percent registered
(Citizen)",Margin of error 1,Total voted,"Percent voted
(Total)",Margin of error 1,"Percent voted
(Citizen)",Margin of error 1
,Black alone or in combination,287,219,153,53.5,11.8,70,12.4,127,44.5,11.8,58.2,13.4
,Asian alone or in combination,241,172,93,38.7,13.2,54.1,15.9,83,34.5,12.8,48.2,15.9
MISSISSIPPI,Total,"2,194","2,178","1,599",72.9,2.5,73.4,2.5,"1,180",53.8,2.8,54.2,2.8
,Male,"1,027","1,016",718,69.9,3.7,70.7,3.7,531,51.7,4,52.2,4.1
,Female,"1,167","1,162",881,75.5,3.3,75.8,3.3,650,55.7,3.8,55.9,3.8
,White alone,"1,353","1,341",956,70.6,3.2,71.2,3.2,688,50.9,3.5,51.3,3.5
,White non-Hispanic alone,"1,317","1,314",943,71.6,3.2,71.8,3.2,679,51.6,3.6,51.7,3.6
,Black alone,798,796,621,77.8,4.6,78.1,4.6,476,59.6,5.4,59.8,5.5
,Asian alone,16,14,3,B,B,B,B,-,B,B,B,B
,Hispanic (of any race),44,33,16,B,B,B,B,11,B,B,B,B
,White alone or in combination,"1,370","1,359",969,70.7,3.2,71.3,3.2,700,51.1,3.5,51.5,3.5
,Black alone or in combination,812,809,630,77.7,4.6,77.9,4.6,484,59.6,5.4,59.8,5.4
,Asian alone or in combination,19,17,5,B,B,B,B,-,B,B,B,B
MISSOURI,Total,"4,676","4,564","3,299",70.6,2.2,72.3,2.2,"2,509",53.7,2.4,55,2.5
,Male,"2,243","2,202","1,541",68.7,3.3,70,3.3,"1,162",51.8,3.5,52.8,3.6
,Female,"2,433","2,361","1,758",72.3,3,74.5,3,"1,346",55.3,3.4,57,3.4
,White alone,"4,006","3,944","2,887",72.1,2.4,73.2,2.4,"2,227",55.6,2.6,56.5,2.6
,White non-Hispanic alone,"3,874","3,856","2,839",73.3,2.4,73.6,2.4,"2,185",56.4,2.7,56.7,2.7
,Black alone,504,497,326,64.8,8.6,65.7,8.6,238,47.3,9,47.9,9.1
,Asian alone,55,35,17,B,B,B,B,3,B,B,B,B
,Hispanic (of any race),176,108,53,30,18.1,49.1,25.3,47,26.5,17.5,43.3,25.1
,White alone or in combination,"4,060","3,991","2,927",72.1,2.4,73.3,2.3,"2,253",55.5,2.6,56.5,2.6
,Black alone or in combination,531,519,340,64,8.4,65.5,8.4,245,46.1,8.7,47.2,8.9
,Asian alone or in combination,55,35,17,B,B,B,B,3,B,B,B,B
MONTANA,Total,822,812,579,70.4,2.3,71.3,2.3,518,63,2.4,63.8,2.4
,Male,405,402,279,68.8,3.3,69.5,3.3,247,61.1,3.5,61.6,3.5
,Female,417,411,300,71.9,3.2,73,3.2,271,64.9,3.4,66,3.4
,White alone,769,760,546,71,2.4,71.8,2.4,494,64.3,2.5,65,2.5
,White non-Hispanic alone,747,740,534,71.5,2.4,72.1,2.4,483,64.7,2.5,65.3,2.5
,Black alone,4,4,1,B,B,B,B,-,B,B,B,B
,Asian alone,5,4,3,B,B,B,B,3,B,B,B,B
,Hispanic (of any race),22,20,11,B,B,B,B,11,B,B,B,B
,White alone or in combination,784,775,557,71,2.3,71.8,2.3,504,64.3,2.5,65,2.5
,Black alone or in combination,7,7,3,B,B,B,B,1,B,B,B,B
,Asian alone or in combination,8,7,5,B,B,B,B,4,B,B,B,B
NEBRASKA,Total,"1,428","1,332",883,61.9,2.8,66.3,2.8,676,47.3,2.9,50.8,3
,Male,710,652,418,58.9,4.1,64.1,4.1,314,44.2,4.1,48.1,4.3
,Female,718,680,466,64.8,3.9,68.5,3.9,362,50.5,4.1,53.3,4.2
,White alone,"1,277","1,203",822,64.4,2.9,68.4,2.9,633,49.6,3.1,52.6,3.2
,White non-Hispanic alone,"1,113","1,108",782,70.2,3,70.5,3,606,54.5,3.3,54.7,3.3
,Black alone,60,59,26,B,B,B,B,15,B,B,B,B
,Asian alone,58,37,11,B,B,B,B,8,B,B,B,B
,Hispanic (of any race),175,105,50,28.7,11.8,47.7,16.8,34,19.7,10.4,32.8,15.8
,White alone or in combination,"1,301","1,226",839,64.5,2.9,68.4,2.9,649,49.9,3,52.9,3.1
,Black alone or in combination,66,65,29,B,B,B,B,18,B,B,B,B
,Asian alone or in combination,60,40,11,B,B,B,B,8,B,B,B,B
NEVADA,Total,"2,324","2,067","1,277",55,2.7,61.8,2.8,"1,006",43.3,2.7,48.7,2.9
,Male,"1,145","1,043",616,53.8,3.8,59,4,497,43.4,3.8,47.7,4
,Female,"1,179","1,024",662,56.1,3.8,64.6,3.9,509,43.2,3.8,49.7,4.1
,White alone,"1,731","1,573","1,009",58.3,3.1,64.2,3.2,818,47.2,3.1,52,3.3
,White non-Hispanic alone,"1,261","1,239",850,67.4,3.4,68.6,3.4,701,55.6,3.7,56.6,3.7
,Black alone,197,178,108,55,11.2,60.9,11.6,65,33.3,10.6,36.8,11.4
,Asian alone,230,177,69,30.2,10,39.2,12.1,49,21.4,8.9,27.8,11.1
,Hispanic (of any race),584,415,212,36.2,8.2,51,10.1,156,26.7,7.5,37.7,9.8
,White alone or in combination,"1,798","1,635","1,058",58.8,3,64.7,3.1,854,47.5,3.1,52.2,3.2
,Black alone or in combination,205,185,114,55.7,11,61.5,11.3,69,33.7,10.4,37.1,11.2
,Asian alone or in combination,248,195,78,31.5,9.7,40.1,11.6,58,23.4,8.9,29.7,10.8
NEW HAMPSHIRE,Total,"1,080","1,025",726,67.2,2.6,70.8,2.6,576,53.3,2.8,56.2,2.8
,Male,530,507,359,67.8,3.7,70.9,3.7,280,52.9,3.9,55.3,4
,Female,550,519,367,66.7,3.7,70.8,3.6,296,53.8,3.9,57.1,4
,White alone,"1,002",978,698,69.7,2.6,71.4,2.6,556,55.5,2.9,56.8,2.9
,White non-Hispanic alone,970,956,683,70.3,2.7,71.4,2.7,545,56.1,2.9,57,2.9
,Black alone,16,4,2,B,B,B,B,2,B,B,B,B
,Asian alone,38,23,15,B,B,B,B,10,B,B,B,B
,Hispanic (of any race),42,25,18,B,B,B,B,14,B,B,B,B
,White alone or in combination,"1,019",991,706,69.3,2.6,71.2,2.6,562,55.2,2.8,56.7,2.9
,Black alone or in combination,27,12,7,B,B,B,B,6,B,B,B,B
,Asian alone or in combination,41,26,17,B,B,B,B,13,B,B,B,B
NEW JERSEY,Total,"7,009","6,267","4,297",61.3,1.9,68.6,1.9,"3,384",48.3,2,54,2.1
,Male,"3,348","2,998","2,046",61.1,2.8,68.2,2.8,"1,577",47.1,2.8,52.6,3
,Female,"3,660","3,269","2,251",61.5,2.7,68.9,2.7,"1,808",49.4,2.7,55.3,2.9
,White alone,"5,227","4,788","3,349",64.1,2.2,69.9,2.2,"2,678",51.2,2.3,55.9,2.4
,White non-Hispanic alone,"4,081","3,944","2,847",69.7,2.4,72.2,2.4,"2,283",55.9,2.6,57.9,2.6
,Black alone,"1,013",917,611,60.3,6.1,66.6,6.2,472,46.6,6.3,51.5,6.6
,Asian alone,690,483,281,40.7,7.8,58.2,9.4,188,27.2,7.1,38.9,9.3
,Hispanic (of any race),"1,259",920,578,45.9,7.3,62.9,8.3,471,37.4,7.1,51.2,8.5
,White alone or in combination,"5,302","4,863","3,401",64.1,2.2,69.9,2.2,"2,725",51.4,2.3,56,2.3
,Black alone or in combination,"1,081",985,663,61.4,5.9,67.3,6,515,47.7,6.1,52.3,6.4
,Asian alone or in combination,697,490,284,40.8,7.8,58.1,9.3,191,27.4,7,39,9.2
NEW MEXICO,Total,"1,576","1,485",916,58.1,2.5,61.7,2.6,715,45.3,2.6,48.1,2.6
,Male,761,715,422,55.5,3.7,59.1,3.8,327,43,3.7,45.8,3.8
,Female,815,770,493,60.5,3.5,64,3.5,387,47.5,3.6,50.3,3.7
,White alone,"1,251","1,178",764,61.1,2.8,64.9,2.8,616,49.2,2.9,52.3,3
,White non-Hispanic alone,644,634,465,72.2,3.6,73.4,3.6,388,60.3,3.9,61.3,3.9
,Black alone,30,27,15,B,B,B,B,9,B,B,B,B
,Asian alone,32,21,9,B,B,B,B,7,B,B,B,B
,Hispanic (of any race),666,597,322,48.3,6.2,53.9,6.5,242,36.3,6,40.5,6.4
,White alone or in combination,"1,284","1,206",777,60.5,2.8,64.5,2.8,626,48.7,2.8,51.9,2.9
,Black alone or in combination,39,36,19,B,B,B,B,11,B,B,B,B
,Asian alone or in combination,35,25,10,B,B,B,B,8,B,B,B,B
NEW YORK,Total,"15,478","13,684","8,553",55.3,1.3,62.5,1.4,"6,775",43.8,1.3,49.5,1.4
,Male,"7,364","6,512","3,934",53.4,2,60.4,2,"3,081",41.8,1.9,47.3,2.1
,Female,"8,113","7,171","4,619",56.9,1.8,64.4,1.9,"3,694",45.5,1.9,51.5,2
,White alone,"11,157","10,070","6,474",58,1.6,64.3,1.6,"5,129",46,1.6,50.9,1.7
,White non-Hispanic alone,"9,108","8,708","5,770",63.4,1.7,66.3,1.7,"4,604",50.6,1.8,52.9,1.8
,Black alone,"2,570","2,305","1,410",54.9,4,61.2,4.1,"1,182",46,4,51.3,4.2
,Asian alone,"1,443","1,061",504,34.9,5.3,47.5,6.5,344,23.8,4.8,32.4,6.1
,Hispanic (of any race),"2,604","1,785",963,37,5,53.9,6.2,731,28.1,4.6,40.9,6.1
,White alone or in combination,"11,374","10,239","6,590",57.9,1.6,64.4,1.6,"5,215",45.8,1.6,50.9,1.7
,Black alone or in combination,"2,721","2,414","1,481",54.4,3.9,61.3,4,"1,236",45.4,3.9,51.2,4.1
,Asian alone or in combination,"1,467","1,085",523,35.6,5.3,48.1,6.4,358,24.4,4.8,33,6.1
NORTH CAROLINA,Total,"7,911","7,444","5,160",65.2,1.8,69.3,1.8,"3,899",49.3,1.9,52.4,1.9
,Male,"3,748","3,495","2,384",63.6,2.6,68.2,2.6,"1,822",48.6,2.7,52.1,2.8
,Female,"4,163","3,949","2,776",66.7,2.4,70.3,2.4,"2,077",49.9,2.6,52.6,2.7
,White alone,"5,775","5,400","3,830",66.3,2.1,70.9,2.1,"2,903",50.3,2.2,53.8,2.3
,White non-Hispanic alone,"5,239","5,170","3,721",71,2.1,72,2.1,"2,814",53.7,2.3,54.4,2.3
,Black alone,"1,685","1,646","1,110",65.9,4.7,67.4,4.7,852,50.6,4.9,51.8,5
,Asian alone,186,149,90,48.5,15.5,60.6,16.9,68,36.4,14.9,45.5,17.2
,Hispanic (of any race),588,268,131,22.3,9,48.9,16,104,17.6,8.2,38.6,15.6
,White alone or in combination,"5,865","5,474","3,889",66.3,2.1,71,2,"2,939",50.1,2.2,53.7,2.3
,Black alone or in combination,"1,748","1,696","1,156",66.1,4.6,68.2,4.6,872,49.9,4.8,51.4,4.9
,Asian alone or in combination,198,159,95,48,15,60,16.4,73,36.6,14.4,45.8,16.7
NORTH DAKOTA,Total,560,541,397,70.9,2.5,73.4,2.5,335,59.8,2.7,61.9,2.7
,Male,286,275,194,67.8,3.6,70.5,3.6,160,56,3.8,58.2,3.9
,Female,274,266,204,74.3,3.4,76.5,3.4,175,63.8,3.8,65.7,3.8
,White alone,499,494,368,73.7,2.6,74.6,2.6,315,63.1,2.8,63.8,2.8
,White non-Hispanic alone,488,483,362,74.2,2.6,74.9,2.6,311,63.7,2.8,64.3,2.8
,Black alone,14,6,2,B,B,B,B,1,B,B,B,B
,Asian alone,8,3,-,B,B,B,B,-,B,B,B,B
,Hispanic (of any race),16,15,10,B,B,B,B,7,B,B,B,B
,White alone or in combination,507,501,374,73.7,2.5,74.6,2.5,320,63.1,2.8,63.8,2.8
,Black alone or in combination,15,7,3,B,B,B,B,2,B,B,B,B
,Asian alone or in combination,9,4,2,B,B,B,B,1,B,B,B,B
OHIO,Total,"8,873","8,640","6,062",68.3,1.6,70.2,1.6,"4,538",51.1,1.8,52.5,1.8
,Male,"4,294","4,158","2,840",66.1,2.4,68.3,2.4,"2,035",47.4,2.5,48.9,2.6
,Female,"4,579","4,482","3,222",70.4,2.2,71.9,2.2,"2,503",54.7,2.4,55.9,2.4
,White alone,"7,372","7,280","5,152",69.9,1.8,70.8,1.8,"3,889",52.8,1.9,53.4,1.9
,White non-Hispanic alone,"7,203","7,142","5,058",70.2,1.8,70.8,1.8,"3,849",53.4,1.9,53.9,1.9
,Black alone,"1,054","1,010",707,67.1,5.8,70,5.8,519,49.2,6.1,51.4,6.3
,Asian alone,207,129,93,45.1,14.4,72.4,16.4,65,31.3,13.4,50.1,18.4
,Hispanic (of any race),235,185,121,51.5,16.9,65.4,18.1,60,25.7,14.8,32.6,17.8
,White alone or in combination,"7,519","7,420","5,215",69.4,1.8,70.3,1.7,"3,920",52.1,1.9,52.8,1.9
,Black alone or in combination,"1,171","1,120",761,65,5.6,68,5.6,544,46.5,5.8,48.6,6
,Asian alone or in combination,223,145,98,43.9,13.9,67.4,16.2,69,31,12.9,47.7,17.3
OKLAHOMA,Total,"2,868","2,732","1,777",62,2.9,65.1,2.9,"1,350",47.1,3,49.4,3
,Male,"1,388","1,330",824,59.4,4.2,62,4.2,626,45.1,4.3,47.1,4.4
,Female,"1,480","1,402",953,64.4,4,68,4,724,48.9,4.1,51.6,4.2
,White alone,"2,254","2,148","1,422",63.1,3.2,66.2,3.2,"1,098",48.7,3.3,51.1,3.4
,White non-Hispanic alone,"1,957","1,951","1,341",68.5,3.3,68.7,3.3,"1,035",52.9,3.6,53,3.6
,Black alone,195,184,90,46.1,13.8,48.8,14.2,61,31.2,12.8,33,13.3
,Asian alone,70,50,23,B,B,B,B,15,B,B,B,B
,Hispanic (of any race),310,210,88,28.5,12.8,42.1,17,71,22.8,11.9,33.7,16.3
,White alone or in combination,"2,370","2,264","1,510",63.7,3.1,66.7,3.2,"1,162",49,3.3,51.3,3.3
,Black alone or in combination,212,201,103,48.7,13.2,51.2,13.6,72,34.1,12.5,35.9,13
,Asian alone or in combination,73,53,26,B,B,B,B,18,B,B,B,B
OREGON,Total,"3,293","3,138","2,274",69.1,2.6,72.5,2.5,"1,918",58.2,2.7,61.1,2.8
,Male,"1,612","1,542","1,078",66.9,3.7,69.9,3.7,912,56.6,3.9,59.2,4
,Female,"1,681","1,596","1,197",71.2,3.5,75,3.4,"1,006",59.8,3.8,63,3.8
,White alone,"2,874","2,781","2,059",71.6,2.7,74,2.6,"1,769",61.5,2.9,63.6,2.9
,White non-Hispanic alone,"2,584","2,569","1,956",75.7,2.7,76.1,2.7,"1,694",65.6,3,65.9,3
,Black alone,78,71,43,55.5,21.6,B,B,41,52.1,21.7,B,B
,Asian alone,172,138,71,41.1,15,51.3,17,36,21,12.4,26.2,15
,Hispanic (of any race),365,267,140,38.3,12.7,52.3,15.2,93,25.4,11.3,34.8,14.5
,White alone or in combination,"3,005","2,892","2,138",71.1,2.6,73.9,2.6,"1,826",60.8,2.8,63.2,2.8
,Black alone or in combination,97,90,59,60.5,19,65.4,19.2,52,53.4,19.4,57.7,19.9
,Asian alone or in combination,189,155,83,44,14.4,53.7,16,41,21.6,12,26.4,14.2
PENNSYLVANIA,Total,"9,928","9,475","6,469",65.2,1.6,68.3,1.6,"5,173",52.1,1.7,54.6,1.7
,Male,"4,736","4,532","3,056",64.5,2.3,67.4,2.3,"2,445",51.6,2.4,53.9,2.5
,Female,"5,192","4,943","3,414",65.7,2.2,69.1,2.2,"2,728",52.5,2.3,55.2,2.3
,White alone,"8,277","8,073","5,628",68,1.7,69.7,1.7,"4,461",53.9,1.8,55.3,1.8
,White non-Hispanic alone,"7,712","7,635","5,434",70.5,1.7,71.2,1.7,"4,323",56.1,1.9,56.6,1.9
,Black alone,"1,059","1,028",653,61.7,6,63.5,6,562,53.1,6.1,54.7,6.2
,Asian alone,423,230,106,25.1,8.8,46,13.8,87,20.6,8.2,37.9,13.4
,Hispanic (of any race),657,529,218,33.2,9.6,41.2,11.1,154,23.4,8.6,29.1,10.3
,White alone or in combination,"8,418","8,189","5,693",67.6,1.7,69.5,1.7,"4,510",53.6,1.8,55.1,1.8
,Black alone or in combination,"1,169","1,113",700,59.8,5.7,62.9,5.8,589,50.4,5.9,52.9,6
,Asian alone or in combination,440,247,123,28,9,49.8,13.3,104,23.8,8.5,42.2,13.1
RHODE ISLAND,Total,828,782,532,64.2,2.7,68,2.7,403,48.7,2.8,51.6,2.9
,Male,394,373,238,60.5,4,63.8,4,186,47.4,4.1,49.9,4.2
,Female,435,408,293,67.5,3.7,71.9,3.6,217,49.9,3.9,53.1,4
,White alone,724,699,488,67.4,2.8,69.8,2.8,374,51.6,3,53.4,3.1
,White non-Hispanic alone,642,633,447,69.8,3,70.7,2.9,345,53.8,3.2,54.5,3.2
,Black alone,53,45,26,B,B,B,B,16,B,B,B,B
,Asian alone,26,16,7,B,B,B,B,5,B,B,B,B
,Hispanic (of any race),98,79,44,45,12.9,55.8,14.3,30,30.5,11.9,37.8,14
,White alone or in combination,746,718,498,66.7,2.8,69.3,2.8,382,51.2,3,53.2,3
,Black alone or in combination,71,60,34,B,B,B,B,23,B,B,B,B
,Asian alone or in combination,30,19,7,B,B,B,B,5,B,B,B,B
SOUTH CAROLINA,Total,"3,914","3,769","2,430",62.1,2.5,64.5,2.5,"1,836",46.9,2.6,48.7,2.7
,Male,"1,849","1,767","1,121",60.6,3.7,63.5,3.7,828,44.8,3.8,46.9,3.9
,Female,"2,066","2,002","1,309",63.4,3.5,65.4,3.5,"1,007",48.8,3.6,50.3,3.6
,White alone,"2,790","2,677","1,727",61.9,3,64.5,3,"1,276",45.7,3.1,47.7,3.1
,White non-Hispanic alone,"2,610","2,588","1,690",64.8,3,65.3,3,"1,257",48.1,3.2,48.6,3.2
,Black alone,"1,000",996,646,64.6,6,64.9,6,519,51.9,6.2,52.1,6.2
,Asian alone,54,29,19,B,B,B,B,9,B,B,B,B
,Hispanic (of any race),207,110,36,17.7,13.6,33.3,23,19,9.3,10.3,17.6,18.6
,White alone or in combination,"2,836","2,722","1,756",61.9,3,64.5,3,"1,298",45.8,3,47.7,3.1
,Black alone or in combination,"1,041","1,036",672,64.6,5.8,64.9,5.8,539,51.8,6.1,52,6.1
,Asian alone or in combination,56,32,19,B,B,B,B,9,B,B,B,B
SOUTH DAKOTA,Total,648,637,429,66.2,2.7,67.3,2.7,331,51,2.9,51.9,2.9
,Male,325,319,207,63.8,3.9,65,3.9,160,49.4,4.1,50.3,4.1
,Female,323,318,222,68.6,3.8,69.7,3.8,170,52.7,4.1,53.5,4.1
,White alone,573,568,392,68.5,2.9,69.1,2.9,305,53.3,3.1,53.8,3.1
,White non-Hispanic alone,561,559,389,69.4,2.9,69.6,2.9,303,54.1,3.1,54.3,3.1
,Black alone,12,7,2,B,B,B,B,1,B,B,B,B
,Asian alone,5,3,1,B,B,B,B,1,B,B,B,B
,Hispanic (of any race),15,13,5,B,B,B,B,4,B,B,B,B
,White alone or in combination,579,575,395,68.1,2.9,68.7,2.9,308,53.1,3.1,53.5,3.1
,Black alone or in combination,14,9,2,B,B,B,B,1,B,B,B,B
,Asian alone or in combination,6,4,2,B,B,B,B,2,B,B,B,B
TENNESSEE,Total,"5,202","5,016","3,183",61.2,2.2,63.5,2.2,"2,487",47.8,2.3,49.6,2.3
,Male,"2,501","2,386","1,476",59,3.2,61.9,3.3,"1,174",46.9,3.3,49.2,3.4
,Female,"2,701","2,630","1,707",63.2,3,64.9,3.1,"1,313",48.6,3.2,49.9,3.2
,White alone,"4,156","4,015","2,606",62.7,2.5,64.9,2.5,"2,039",49.1,2.5,50.8,2.6
,White non-Hispanic alone,"3,879","3,852","2,536",65.4,2.5,65.9,2.5,"1,991",51.3,2.6,51.7,2.6
,Black alone,830,801,484,58.3,6.8,60.4,6.9,368,44.3,6.9,45.9,7
,Asian alone,109,97,32,29.4,18.1,33,19.9,29,26.8,17.6,30.2,19.4
,Hispanic (of any race),282,167,69,24.5,13.2,41.3,19.6,48,17,11.6,28.7,18
,White alone or in combination,"4,244","4,099","2,660",62.7,2.4,64.9,2.4,"2,087",49.2,2.5,50.9,2.6
,Black alone or in combination,866,837,496,57.3,6.7,59.3,6.8,376,43.5,6.7,45,6.8
,Asian alone or in combination,124,109,36,29.2,16.9,33.4,18.8,34,27,16.5,30.9,18.4
TEXAS,Total,"21,064","18,374","11,634",55.2,1.1,63.3,1.2,"8,886",42.2,1.1,48.4,1.2
,Male,"10,274","8,812","5,361",52.2,1.6,60.8,1.7,"4,064",39.6,1.6,46.1,1.8
,Female,"10,790","9,562","6,273",58.1,1.6,65.6,1.6,"4,822",44.7,1.6,50.4,1.7
,White alone,"16,689","14,555","9,331",55.9,1.3,64.1,1.3,"7,158",42.9,1.3,49.2,1.4
,White non-Hispanic alone,"9,492","9,345","6,686",70.4,1.6,71.5,1.6,"5,394",56.8,1.7,57.7,1.7
,Black alone,"2,625","2,490","1,580",60.2,3.8,63.4,3.9,"1,203",45.8,3.9,48.3,4
,Asian alone,"1,097",736,397,36.2,6.1,54,7.7,288,26.3,5.6,39.1,7.6
,Hispanic (of any race),"7,658","5,594","2,843",37.1,2.9,50.8,3.5,"1,918",25,2.6,34.3,3.3
,White alone or in combination,"16,991","14,838","9,496",55.9,1.3,64,1.3,"7,276",42.8,1.3,49,1.4
,Black alone or in combination,"2,722","2,583","1,629",59.8,3.8,63.1,3.8,"1,231",45.2,3.8,47.6,4
,Asian alone or in combination,"1,192",831,471,39.5,6,56.7,7.2,354,29.7,5.6,42.6,7.2
UTAH,Total,"2,247","2,109","1,443",64.2,2.2,68.4,2.2,"1,214",54,2.3,57.6,2.4
,Male,"1,109","1,040",691,62.3,3.2,66.4,3.2,568,51.2,3.3,54.6,3.4
,Female,"1,138","1,068",752,66.1,3.1,70.4,3.1,646,56.8,3.2,60.5,3.3
,White alone,"2,080","1,969","1,385",66.6,2.3,70.4,2.3,"1,171",56.3,2.4,59.5,2.4
,White non-Hispanic alone,"1,799","1,785","1,293",71.9,2.3,72.4,2.3,"1,092",60.7,2.5,61.2,2.5
,Black alone,31,29,8,B,B,B,B,5,B,B,B,B
,Asian alone,63,44,26,B,B,B,B,22,B,B,B,B
,Hispanic (of any race),291,189,96,32.8,9.5,50.5,12.6,82,28.3,9.1,43.6,12.4
,White alone or in combination,"2,091","1,979","1,392",66.6,2.3,70.3,2.3,"1,175",56.2,2.4,59.4,2.4
,Black alone or in combination,35,33,12,B,B,B,B,10,B,B,B,B
,Asian alone or in combination,67,48,26,B,B,B,B,22,B,B,B,B
VERMONT,Total,503,497,343,68.1,2.9,69,2.9,273,54.2,3.1,54.9,3.1
,Male,247,243,168,68.2,4.1,69.1,4.1,132,53.6,4.4,54.3,4.4
,Female,257,253,175,68,4,69,4,141,54.7,4.3,55.5,4.3
,White alone,478,473,330,68.9,2.9,69.7,2.9,263,55,3.1,55.6,3.1
,White non-Hispanic alone,472,466,323,68.6,2.9,69.4,2.9,258,54.6,3.2,55.3,3.2
,Black alone,4,4,2,B,B,B,B,1,B,B,B,B
,Asian alone,5,4,3,B,B,B,B,3,B,B,B,B
,Hispanic (of any race),8,8,7,B,B,B,B,6,B,B,B,B
,White alone or in combination,493,486,338,68.7,2.9,69.6,2.9,268,54.5,3.1,55.2,3.1
,Black alone or in combination,7,7,3,B,B,B,B,2,B,B,B,B
,Asian alone or in combination,8,7,5,B,B,B,B,3,B,B,B,B
VIRGINIA,Total,"6,386","5,773","4,159",65.1,2,72,2,"3,319",52,2.1,57.5,2.2
,Male,"3,051","2,724","1,958",64.2,2.9,71.9,2.9,"1,578",51.7,3,57.9,3.2
,Female,"3,335","3,049","2,201",66,2.8,72.2,2.7,"1,742",52.2,2.9,57.1,3
,White alone,"4,496","4,094","3,065",68.2,2.3,74.9,2.3,"2,412",53.7,2.5,58.9,2.6
,White non-Hispanic alone,"3,874","3,808","2,924",75.5,2.3,76.8,2.3,"2,314",59.7,2.6,60.8,2.7
,Black alone,"1,198","1,130",754,63,5.7,66.8,5.7,637,53.2,5.9,56.4,6
,Asian alone,510,368,226,44.3,9.3,61.4,10.8,169,33.2,8.8,46,11
,Hispanic (of any race),669,324,159,23.8,8.7,49,14.6,112,16.8,7.6,34.6,13.9
,White alone or in combination,"4,617","4,215","3,156",68.4,2.3,74.9,2.2,"2,490",53.9,2.5,59.1,2.5
,Black alone or in combination,"1,258","1,190",786,62.5,5.5,66.1,5.6,664,52.8,5.7,55.8,5.8
,Asian alone or in combination,587,445,286,48.7,8.7,64.3,9.6,224,38.2,8.5,50.4,10
WASHINGTON,Total,"5,775","5,228","3,852",66.7,2.1,73.7,2,"3,234",56,2.2,61.9,2.2
,Male,"2,869","2,590","1,861",64.9,3,71.9,2.9,"1,541",53.7,3.1,59.5,3.2
,Female,"2,906","2,638","1,991",68.5,2.9,75.5,2.8,"1,693",58.2,3,64.2,3.1
,White alone,"4,663","4,314","3,219",69,2.3,74.6,2.2,"2,736",58.7,2.4,63.4,2.4
,White non-Hispanic alone,"3,995","3,905","2,983",74.7,2.3,76.4,2.3,"2,558",64,2.5,65.5,2.5
,Black alone,232,232,155,66.8,12.4,66.8,12.4,103,44.2,13.1,44.2,13.1
,Asian alone,530,356,262,49.4,9.1,73.4,9.8,224,42.2,9,62.8,10.8
,Hispanic (of any race),736,468,267,36.3,9.3,57.2,12,204,27.8,8.6,43.7,12
,White alone or in combination,"4,792","4,434","3,321",69.3,2.2,74.9,2.2,"2,816",58.8,2.4,63.5,2.4
,Black alone or in combination,255,255,175,68.4,11.7,68.4,11.7,117,45.7,12.6,45.7,12.6
,Asian alone or in combination,559,386,287,51.4,8.9,74.5,9.3,237,42.4,8.8,61.6,10.4
WEST VIRGINIA,Total,"1,406","1,384",892,63.4,2.8,64.5,2.8,610,43.4,2.9,44.1,2.9
,Male,685,674,423,61.7,4,62.7,4.1,294,43,4.1,43.7,4.2
,Female,721,710,470,65.1,3.9,66.1,3.9,316,43.8,4,44.5,4.1
,White alone,"1,312","1,303",856,65.2,2.9,65.7,2.9,585,44.6,3,44.9,3
,White non-Hispanic alone,"1,291","1,286",847,65.6,2.9,65.9,2.9,582,45.1,3,45.2,3
,Black alone,49,47,19,B,B,B,B,12,B,B,B,B
,Asian alone,17,6,4,B,B,B,B,3,B,B,B,B
,Hispanic (of any race),24,20,10,B,B,B,B,4,B,B,B,B
,White alone or in combination,"1,334","1,324",867,65,2.8,65.5,2.8,594,44.5,3,44.8,3
,Black alone or in combination,64,63,29,B,B,B,B,19,B,B,B,B
,Asian alone or in combination,19,7,5,B,B,B,B,4,B,B,B,B
WISCONSIN,Total,"4,436","4,296","3,129",70.5,2.3,72.8,2.2,"2,776",62.6,2.4,64.6,2.4
,Male,"2,186","2,105","1,519",69.5,3.3,72.2,3.2,"1,328",60.7,3.5,63.1,3.5
,Female,"2,250","2,191","1,610",71.6,3.2,73.5,3.1,"1,448",64.4,3.3,66.1,3.4
,White alone,"3,948","3,865","2,883",73,2.3,74.6,2.3,"2,574",65.2,2.5,66.6,2.5
,White non-Hispanic alone,"3,782","3,759","2,815",74.5,2.3,74.9,2.3,"2,514",66.5,2.5,66.9,2.5
,Black alone,264,239,137,51.7,12.3,57.1,12.8,110,41.7,12.2,46,12.9
,Asian alone,89,79,52,58.6,21.8,66,22.3,52,58.6,21.8,66,22.3
,Hispanic (of any race),232,142,91,39.3,16.7,64.2,21,84,36.3,16.4,59.4,21.5
,White alone or in combination,"4,015","3,932","2,923",72.8,2.3,74.4,2.3,"2,599",64.7,2.5,66.1,2.5
,Black alone or in combination,313,266,159,50.7,11.3,59.6,12.1,123,39.1,11.1,46.1,12.3
