"Table 4b.  Reported Voting and Registration, by Sex, Race and Hispanic Origin, for States: November 2010",,,,,,,,,,,,,
"(Population 18 years and older, in thousands)",,,,,,,,,,,,,
,,,,,,,,,,,,,
STATE,,Total Population,Total Citizen Population,Total registered,"Percent registered
(Total)",Margin of Error1,"Percent registered
(Citizen)",Margin of Error1,Total voted,"Percent voted
(Total)",Margin of Error1,"Percent voted
(Citizen)",Margin of Error1
,Black alone,140,101,62,44.1,15.1,60.9,17.5,45,32.2,14.2,44.5,17.8
,Asian alone,84,56,23,27.1,18.3,40.4,24.6,14,16.5,15.2,24.5,21.6
,Hispanic (of any race),138,89,43,31.2,18.4,48.5,24.8,30,21.4,16.3,33.2,23.3
,White alone or in combination,"3,725","3,642","2,664",71.5,2.2,73.1,2.2,"2,040",54.8,2.4,56,2.4
,Black alone or in combination,160,122,68,42.6,14.1,56,16.2,46,28.7,12.9,37.8,15.8
,Asian alone or in combination,85,57,24,28,18.4,41.5,24.5,15,17.5,15.5,25.9,21.8
MISSISSIPPI,Total,"2,113","2,087","1,532",72.5,2.3,73.4,2.3,983,46.5,2.6,47.1,2.6
,Male,"1,000",987,674,67.5,3.6,68.3,3.6,425,42.5,3.8,43,3.8
,Female,"1,113","1,099",857,77,3,78,3,558,50.1,3.6,50.8,3.6
,White alone,"1,324","1,309",970,73.3,2.9,74.1,2.9,623,47.1,3.3,47.6,3.3
,White non-Hispanic alone,"1,307","1,301",965,73.9,2.9,74.2,2.9,620,47.5,3.3,47.7,3.3
,Black alone,721,721,534,74.1,4.8,74.1,4.8,351,48.7,5.4,48.7,5.4
,Asian alone,29,19,12,(B),(B),(B),(B),2,(B),(B),(B),(B)
,Hispanic (of any race),17,8,5,(B),(B),(B),(B),3,(B),(B),(B),(B)
,White alone or in combination,"1,340","1,324",984,73.4,2.9,74.3,2.9,630,47,3.3,47.6,3.3
,Black alone or in combination,735,735,541,73.6,4.8,73.6,4.8,354,48.1,5.4,48.1,5.4
,Asian alone or in combination,31,19,12,(B),(B),(B),(B),2,(B),(B),(B),(B)
MISSOURI,Total,"4,506","4,387","3,013",66.9,2.1,68.7,2.1,"2,004",44.5,2.2,45.7,2.3
,Male,"2,164","2,083","1,414",65.3,3.1,67.9,3.1,941,43.5,3.2,45.2,3.3
,Female,"2,342","2,304","1,598",68.3,2.9,69.4,2.9,"1,063",45.4,3.1,46.1,3.1
,White alone,"3,900","3,811","2,622",67.2,2.3,68.8,2.3,"1,755",45,2.4,46.1,2.4
,White non-Hispanic alone,"3,764","3,746","2,585",68.7,2.3,69,2.3,"1,731",46,2.5,46.2,2.5
,Black alone,484,472,338,70,7.6,71.8,7.6,224,46.4,8.3,47.6,8.4
,Asian alone,35,21,3,(B),(B),(B),(B),-,(B),(B),(B),(B)
,Hispanic (of any race),140,65,37,26.7,17.7,57.7,29.1,24,17.2,15.1,37.2,28.5
,White alone or in combination,"3,958","3,869","2,658",67.2,2.3,68.7,2.3,"1,773",44.8,2.4,45.8,2.4
,Black alone or in combination,500,489,353,70.4,7.5,72.2,7.4,230,45.9,8.1,47,8.3
,Asian alone or in combination,39,24,7,(B),(B),(B),(B),4,(B),(B),(B),(B)
MONTANA,Total,753,744,491,65.2,2.5,66,2.5,386,51.3,2.6,51.9,2.6
,Male,371,368,250,67.4,3.4,67.9,3.4,196,52.7,3.7,53.2,3.7
,Female,381,376,241,63.2,3.5,64.1,3.5,191,50,3.6,50.7,3.6
,White alone,678,672,452,66.7,2.6,67.3,2.6,359,52.9,2.7,53.4,2.7
,White non-Hispanic alone,659,655,441,66.9,2.6,67.3,2.6,351,53.2,2.7,53.5,2.8
,Black alone,5,5,2,(B),(B),(B),(B),2,(B),(B),(B),(B)
,Asian alone,5,2,2,(B),(B),(B),(B),-,(B),(B),(B),(B)
,Hispanic (of any race),22,20,13,(B),(B),(B),(B),9,(B),(B),(B),(B)
,White alone or in combination,696,690,463,66.6,2.5,67.2,2.5,367,52.7,2.7,53.2,2.7
,Black alone or in combination,5,5,2,(B),(B),(B),(B),2,(B),(B),(B),(B)
,Asian alone or in combination,5,2,2,(B),(B),(B),(B),-,(B),(B),(B),(B)
NEBRASKA,Total,"1,323","1,240",804,60.8,2.6,64.8,2.6,511,38.7,2.6,41.3,2.7
,Male,643,598,372,57.9,3.8,62.2,3.8,244,37.9,3.7,40.8,3.9
,Female,680,642,432,63.5,3.6,67.3,3.6,268,39.3,3.6,41.7,3.8
,White alone,"1,216","1,165",769,63.3,2.7,66,2.7,493,40.6,2.7,42.3,2.8
,White non-Hispanic alone,"1,138","1,124",752,66.1,2.7,66.9,2.7,487,42.8,2.8,43.4,2.9
,Black alone,45,31,13,(B),(B),(B),(B),5,(B),(B),(B),(B)
,Asian alone,32,19,9,(B),(B),(B),(B),3,(B),(B),(B),(B)
,Hispanic (of any race),101,55,25,25,13.1,46.4,20.6,12,11.6,9.7,21.6,17
,White alone or in combination,"1,223","1,172",775,63.4,2.7,66.1,2.7,498,40.7,2.7,42.5,2.8
,Black alone or in combination,47,33,15,(B),(B),(B),(B),7,(B),(B),(B),(B)
,Asian alone or in combination,34,21,10,(B),(B),(B),(B),4,(B),(B),(B),(B)
NEVADA,Total,"1,957","1,725",996,50.9,2.6,57.8,2.7,731,37.3,2.5,42.4,2.7
,Male,989,873,477,48.3,3.6,54.6,3.8,360,36.4,3.5,41.2,3.8
,Female,968,852,519,53.6,3.6,61,3.8,371,38.3,3.6,43.5,3.9
,White alone,"1,534","1,360",819,53.4,2.9,60.2,3,608,39.6,2.8,44.7,3.1
,White non-Hispanic alone,"1,169","1,143",726,62.1,3.2,63.5,3.2,546,46.7,3.3,47.7,3.4
,Black alone,148,139,69,46.7,11.3,50,11.7,48,32.2,10.6,34.4,11.1
,Asian alone,142,104,44,31.1,11.2,42.5,14,27,19,9.5,25.9,12.4
,Hispanic (of any race),399,245,103,25.9,7.9,42.3,11.3,68,17.1,6.7,27.9,10.3
,White alone or in combination,"1,580","1,403",842,53.3,2.9,60,3,623,39.4,2.8,44.4,3
,Black alone or in combination,163,153,79,48.1,10.8,51.2,11.1,50,30.4,9.9,32.4,10.4
,Asian alone or in combination,151,113,50,32.8,11,43.8,13.4,31,20.7,9.5,27.6,12.1
NEW HAMPSHIRE,Total,"1,024","1,002",666,65,2.5,66.5,2.6,470,45.9,2.7,46.9,2.7
,Male,498,489,327,65.7,3.6,66.9,3.6,234,46.9,3.8,47.8,3.9
,Female,526,513,339,64.4,3.6,66,3.6,236,44.9,3.7,46,3.8
,White alone,976,964,647,66.2,2.6,67.1,2.6,456,46.7,2.7,47.4,2.7
,White non-Hispanic alone,964,953,642,66.6,2.6,67.4,2.6,454,47,2.7,47.6,2.8
,Black alone,12,11,5,(B),(B),(B),(B),4,(B),(B),(B),(B)
,Asian alone,19,11,6,(B),(B),(B),(B),3,(B),(B),(B),(B)
,Hispanic (of any race),12,11,5,(B),(B),(B),(B),3,(B),(B),(B),(B)
,White alone or in combination,988,975,651,65.9,2.6,66.8,2.6,460,46.6,2.7,47.2,2.7
,Black alone or in combination,16,14,6,(B),(B),(B),(B),5,(B),(B),(B),(B)
,Asian alone or in combination,19,12,6,(B),(B),(B),(B),3,(B),(B),(B),(B)
NEW JERSEY,Total,"6,581","5,719","3,656",55.6,1.8,63.9,1.9,"2,383",36.2,1.8,41.7,2
,Male,"3,169","2,706","1,712",54,2.7,63.3,2.8,"1,090",34.4,2.5,40.3,2.8
,Female,"3,412","3,013","1,944",57,2.6,64.5,2.6,"1,293",37.9,2.5,42.9,2.7
,White alone,"5,115","4,529","2,921",57.1,2.1,64.5,2.1,"1,890",36.9,2,41.7,2.2
,White non-Hispanic alone,"4,109","3,963","2,668",64.9,2.2,67.3,2.2,"1,729",42.1,2.3,43.6,2.4
,Black alone,889,832,555,62.5,5.9,66.8,6,390,43.9,6.1,46.9,6.3
,Asian alone,514,337,175,34.1,7.9,52,10.4,101,19.6,6.7,29.9,9.5
,Hispanic (of any race),"1,136",628,284,25,6.1,45.2,9.4,177,15.5,5.1,28.1,8.5
,White alone or in combination,"5,161","4,539","2,923",56.6,2.1,64.4,2.1,"1,890",36.6,2,41.6,2.2
,Black alone or in combination,929,835,555,59.8,5.9,66.5,6,390,42,5.9,46.7,6.3
,Asian alone or in combination,521,343,177,33.9,7.9,51.5,10.3,101,19.3,6.6,29.3,9.4
NEW MEXICO,Total,"1,489","1,362",746,50.1,2.6,54.8,2.7,579,38.9,2.5,42.5,2.7
,Male,725,660,336,46.4,3.7,51,3.9,271,37.3,3.6,41,3.9
,Female,764,702,409,53.6,3.6,58.3,3.7,308,40.3,3.6,43.9,3.8
,White alone,"1,215","1,107",638,52.5,2.9,57.6,3,499,41.1,2.8,45.1,3
,White non-Hispanic alone,626,613,396,63.2,3.9,64.6,3.9,319,51,4,52.1,4.1
,Black alone,44,40,4,(B),(B),(B),(B),-,(B),(B),(B),(B)
,Asian alone,52,35,14,(B),(B),(B),(B),12,(B),(B),(B),(B)
,Hispanic (of any race),610,516,249,40.7,6.3,48.2,7,183,30,5.9,35.5,6.7
,White alone or in combination,"1,229","1,122",648,52.7,2.9,57.7,3,506,41.2,2.8,45.1,3
,Black alone or in combination,46,42,4,(B),(B),(B),(B),-,(B),(B),(B),(B)
,Asian alone or in combination,55,38,17,(B),(B),(B),(B),12,(B),(B),(B),(B)
NEW YORK,Total,"14,974","13,163","8,395",56.1,1.2,63.8,1.3,"5,746",38.4,1.2,43.6,1.3
,Male,"7,136","6,211","3,883",54.4,1.8,62.5,1.9,"2,699",37.8,1.7,43.5,1.9
,Female,"7,837","6,952","4,512",57.6,1.7,64.9,1.7,"3,046",38.9,1.7,43.8,1.8
,White alone,"11,336","10,347","6,797",60,1.4,65.7,1.4,"4,721",41.6,1.4,45.6,1.5
,White non-Hispanic alone,"9,333","9,033","6,102",65.4,1.5,67.6,1.5,"4,290",46,1.6,47.5,1.6
,Black alone,"2,478","2,096","1,306",52.7,3.7,62.3,3.9,892,36,3.6,42.6,4
,Asian alone,"1,045",631,239,22.9,5,37.9,7.4,99,9.5,3.5,15.7,5.6
,Hispanic (of any race),"2,389","1,603",830,34.7,4.7,51.8,6,516,21.6,4,32.2,5.6
,White alone or in combination,"11,425","10,411","6,827",59.8,1.4,65.6,1.4,"4,746",41.5,1.4,45.6,1.5
,Black alone or in combination,"2,500","2,114","1,316",52.6,3.7,62.2,3.9,899,36,3.5,42.5,4
,Asian alone or in combination,"1,068",654,248,23.2,5,37.9,7.3,107,10.1,3.5,16.4,5.6
NORTH CAROLINA,Total,"6,998","6,632","4,455",63.7,1.7,67.2,1.7,"3,009",43,1.8,45.4,1.8
,Male,"3,320","3,127","2,045",61.6,2.5,65.4,2.6,"1,378",41.5,2.6,44.1,2.7
,Female,"3,678","3,505","2,410",65.5,2.4,68.8,2.3,"1,631",44.3,2.5,46.5,2.5
,White alone,"5,164","4,853","3,344",64.8,2,68.9,2,"2,279",44.1,2.1,47,2.1
,White non-Hispanic alone,"4,731","4,694","3,254",68.8,2,69.3,2,"2,207",46.6,2.2,47,2.2
,Black alone,"1,438","1,420",871,60.5,4.7,61.3,4.7,582,40.5,4.7,41,4.7
,Asian alone,124,94,70,56.9,16.9,74.8,17,31,24.7,14.7,32.4,18.3
,Hispanic (of any race),469,182,105,22.4,9.1,57.7,17.3,80,17,8.2,43.8,17.4
,White alone or in combination,"5,225","4,913","3,382",64.7,2,68.8,2,"2,287",43.8,2.1,46.6,2.1
,Black alone or in combination,"1,484","1,466",910,61.3,4.6,62.1,4.6,607,40.9,4.6,41.4,4.7
,Asian alone or in combination,139,109,77,55.4,16,70.5,16.6,34,24.6,13.9,31.4,16.9
NORTH DAKOTA,Total,488,477,361,73.9,2.3,75.6,2.3,266,54.5,2.6,55.7,2.7
,Male,243,239,177,72.7,3.4,73.9,3.3,132,54.2,3.8,55.1,3.8
,Female,245,239,184,75.2,3.2,77.3,3.2,134,54.8,3.7,56.4,3.8
,White alone,433,428,324,74.7,2.5,75.5,2.4,240,55.4,2.8,56,2.8
,White non-Hispanic alone,430,425,322,74.9,2.5,75.7,2.4,239,55.6,2.8,56.2,2.8
,Black alone,4,4,2,(B),(B),(B),(B),-,(B),(B),(B),(B)
,Asian alone,7,-,-,(B),(B),(B),(B),-,(B),(B),(B),(B)
,Hispanic (of any race),3,3,2,(B),(B),(B),(B),-,(B),(B),(B),(B)
,White alone or in combination,439,434,327,74.6,2.4,75.4,2.4,241,54.9,2.8,55.5,2.8
,Black alone or in combination,6,6,3,(B),(B),(B),(B),-,(B),(B),(B),(B)
,Asian alone or in combination,7,-,-,(B),(B),(B),(B),-,(B),(B),(B),(B)
OHIO,Total,"8,642","8,468","5,601",64.8,1.5,66.1,1.5,"3,824",44.2,1.6,45.2,1.6
,Male,"4,135","4,048","2,664",64.4,2.2,65.8,2.2,"1,866",45.1,2.3,46.1,2.4
,Female,"4,506","4,420","2,936",65.2,2.1,66.4,2.1,"1,958",43.4,2.2,44.3,2.2
,White alone,"7,474","7,396","4,910",65.7,1.6,66.4,1.6,"3,382",45.2,1.7,45.7,1.7
,White non-Hispanic alone,"7,316","7,288","4,847",66.2,1.7,66.5,1.7,"3,344",45.7,1.7,45.9,1.8
,Black alone,930,897,606,65.2,5.7,67.5,5.7,389,41.9,5.9,43.4,6
,Asian alone,110,55,27,24.6,15.6,48.8,25.5,21,19.4,14.3,38.5,24.8
,Hispanic (of any race),187,128,64,34.1,16.3,49.7,20.8,38,20.1,13.8,29.3,18.9
,White alone or in combination,"7,575","7,488","4,953",65.4,1.6,66.1,1.6,"3,408",45,1.7,45.5,1.7
,Black alone or in combination,964,931,623,64.7,5.6,66.9,5.6,400,41.5,5.8,43,5.9
,Asian alone or in combination,117,63,32,27.6,15.6,51.2,23.9,27,22.7,14.7,42.1,23.6
OKLAHOMA,Total,"2,695","2,628","1,603",59.5,2.6,61,2.6,"1,061",39.4,2.6,40.4,2.6
,Male,"1,295","1,263",756,58.3,3.8,59.8,3.8,489,37.8,3.7,38.7,3.8
,Female,"1,400","1,365",847,60.5,3.6,62,3.6,572,40.9,3.6,41.9,3.7
,White alone,"2,015","1,983","1,234",61.2,3,62.2,3,833,41.3,3,42,3
,White non-Hispanic alone,"1,892","1,888","1,200",63.4,3,63.5,3,818,43.2,3.1,43.3,3.1
,Black alone,195,191,111,57,11.8,58.4,11.8,71,36.1,11.4,37,11.6
,Asian alone,68,48,24,(B),(B),(B),(B),13,(B),(B),(B),(B)
,Hispanic (of any race),159,116,38,24.1,14.6,33.1,18.8,19,11.9,11,16.3,14.8
,White alone or in combination,"2,236","2,197","1,376",61.5,2.8,62.7,2.8,924,41.3,2.9,42.1,2.9
,Black alone or in combination,216,212,120,55.3,11.2,56.5,11.3,72,33.2,10.6,34,10.8
,Asian alone or in combination,76,56,29,38.3,19.3,51.4,23,16,20.4,16,27.5,20.6
OREGON,Total,"2,974","2,830","2,005",67.4,2.4,70.8,2.4,"1,594",53.6,2.6,56.3,2.6
,Male,"1,455","1,383",962,66.1,3.5,69.5,3.5,781,53.7,3.7,56.4,3.8
,Female,"1,520","1,447","1,043",68.6,3.4,72.1,3.3,813,53.5,3.6,56.2,3.7
,White alone,"2,725","2,612","1,861",68.3,2.5,71.3,2.5,"1,493",54.8,2.7,57.2,2.7
,White non-Hispanic alone,"2,544","2,513","1,818",71.5,2.5,72.3,2.5,"1,462",57.5,2.8,58.2,2.8
,Black alone,63,61,39,(B),(B),(B),(B),25,(B),(B),(B),(B)
,Asian alone,93,64,40,42.6,18.3,62.2,21.7,31,33.4,17.5,48.7,22.3
,Hispanic (of any race),189,107,50,26.3,14.2,46.4,21.4,35,18.6,12.6,32.9,20.2
,White alone or in combination,"2,775","2,662","1,896",68.3,2.5,71.2,2.5,"1,522",54.9,2.7,57.2,2.7
,Black alone or in combination,73,71,42,(B),(B),(B),(B),25,(B),(B),(B),(B)
,Asian alone or in combination,109,79,51,47.3,17.1,64.7,19.2,41,37.6,16.6,51.5,20
PENNSYLVANIA,Total,"9,631","9,339","6,031",62.6,1.5,64.6,1.5,"4,104",42.6,1.5,43.9,1.5
,Male,"4,581","4,421","2,812",61.4,2.2,63.6,2.2,"1,956",42.7,2.2,44.2,2.2
,Female,"5,050","4,918","3,220",63.8,2,65.5,2,"2,148",42.5,2.1,43.7,2.1
,White alone,"8,435","8,318","5,426",64.3,1.6,65.2,1.6,"3,674",43.6,1.6,44.2,1.6
,White non-Hispanic alone,"8,104","8,024","5,281",65.2,1.6,65.8,1.6,"3,599",44.4,1.7,44.8,1.7
,Black alone,907,808,494,54.5,6,61.2,6.2,368,40.6,5.9,45.6,6.4
,Asian alone,173,113,60,34.8,13.7,53.5,17.8,30,17.2,10.9,26.5,15.8
,Hispanic (of any race),390,323,155,39.7,11.7,47.9,13.1,79,20.3,9.6,24.5,11.3
,White alone or in combination,"8,514","8,388","5,462",64.1,1.6,65.1,1.6,"3,697",43.4,1.6,44.1,1.6
,Black alone or in combination,952,853,523,54.9,5.9,61.3,6.1,390,40.9,5.8,45.7,6.2
,Asian alone or in combination,189,120,63,33.2,13,52.4,17.3,32,17.1,10.4,27,15.4
RHODE ISLAND,Total,812,745,510,62.8,2.6,68.4,2.6,348,42.9,2.7,46.7,2.8
,Male,387,350,238,61.5,3.8,68,3.8,168,43.4,3.9,48,4.1
,Female,425,396,272,63.9,3.6,68.7,3.6,180,42.3,3.7,45.5,3.9
,White alone,720,681,477,66.3,2.7,70.1,2.7,329,45.7,2.9,48.3,2.9
,White non-Hispanic alone,649,637,460,70.8,2.7,72.2,2.7,320,49.3,3,50.3,3.1
,Black alone,45,34,18,(B),(B),(B),(B),12,(B),(B),(B),(B)
,Asian alone,29,17,6,(B),(B),(B),(B),3,(B),(B),(B),(B)
,Hispanic (of any race),84,53,20,24.4,11.4,38.8,16.3,10,12.2,8.7,19.5,13.2
,White alone or in combination,725,686,482,66.5,2.7,70.2,2.7,332,45.8,2.9,48.3,2.9
,Black alone or in combination,49,37,21,(B),(B),(B),(B),13,(B),(B),(B),(B)
,Asian alone or in combination,29,17,6,(B),(B),(B),(B),3,(B),(B),(B),(B)
SOUTH CAROLINA,Total,"3,453","3,339","2,304",66.7,2.4,69,2.4,"1,700",49.2,2.5,50.9,2.6
,Male,"1,635","1,577","1,054",64.5,3.5,66.9,3.5,777,47.5,3.7,49.3,3.7
,Female,"1,818","1,762","1,250",68.8,3.2,70.9,3.2,922,50.7,3.5,52.3,3.5
,White alone,"2,455","2,361","1,646",67.1,2.8,69.7,2.8,"1,190",48.5,3,50.4,3.1
,White non-Hispanic alone,"2,355","2,327","1,634",69.4,2.8,70.2,2.8,"1,188",50.4,3.1,51,3.1
,Black alone,898,898,616,68.6,5.6,68.6,5.6,482,53.7,6,53.7,6
,Asian alone,49,29,15,(B),(B),(B),(B),7,(B),(B),(B),(B)
,Hispanic (of any race),112,45,15,13.3,15,32.8,32.6,4,3.6,8.2,8.9,19.7
,White alone or in combination,"2,498","2,403","1,668",66.8,2.8,69.4,2.8,"1,204",48.2,3,50.1,3
,Black alone or in combination,918,918,631,68.7,5.5,68.7,5.5,495,53.9,5.9,53.9,5.9
,Asian alone or in combination,49,29,15,(B),(B),(B),(B),7,(B),(B),(B),(B)
SOUTH DAKOTA,Total,602,587,406,67.4,2.3,69.1,2.3,322,53.5,2.4,54.9,2.5
,Male,297,287,194,65.5,3.3,67.8,3.3,151,50.8,3.5,52.6,3.5
,Female,305,301,212,69.3,3.2,70.4,3.2,171,56.1,3.4,57,3.4
,White alone,554,543,380,68.7,2.4,70.1,2.4,304,54.9,2.5,56,2.6
,White non-Hispanic alone,539,537,378,70,2.4,70.4,2.4,301,55.9,2.6,56.2,2.6
,Black alone,7,4,2,(B),(B),(B),(B),1,(B),(B),(B),(B)
,Asian alone,3,3,1,(B),(B),(B),(B),-,(B),(B),(B),(B)
,Hispanic (of any race),19,10,6,(B),(B),(B),(B),3,(B),(B),(B),(B)
,White alone or in combination,557,546,382,68.6,2.4,69.9,2.4,305,54.8,2.5,55.9,2.5
,Black alone or in combination,7,4,2,(B),(B),(B),(B),1,(B),(B),(B),(B)
,Asian alone or in combination,3,3,1,(B),(B),(B),(B),-,(B),(B),(B),(B)
TENNESSEE,Total,"4,745","4,547","2,854",60.1,2.1,62.8,2.1,"1,714",36.1,2.1,37.7,2.1
,Male,"2,278","2,155","1,317",57.8,3.1,61.1,3.1,789,34.6,3,36.6,3.1
,Female,"2,466","2,392","1,537",62.3,2.9,64.2,2.9,925,37.5,2.9,38.7,3
,White alone,"3,869","3,753","2,365",61.1,2.3,63,2.4,"1,433",37,2.3,38.2,2.4
,White non-Hispanic alone,"3,722","3,694","2,332",62.7,2.4,63.1,2.4,"1,419",38.1,2.4,38.4,2.4
,Black alone,716,666,415,58,6.7,62.3,6.8,242,33.8,6.4,36.4,6.7
,Asian alone,77,45,13,17.4,16.3,29.7,25.7,6,8.3,11.9,14.2,19.7
,Hispanic (of any race),160,72,37,23.3,15.7,52.1,27.7,19,11.8,11.9,26.3,24.4
,White alone or in combination,"3,935","3,819","2,413",61.3,2.3,63.2,2.3,"1,460",37.1,2.3,38.2,2.3
,Black alone or in combination,722,672,415,57.4,6.7,61.7,6.8,242,33.5,6.4,36,6.7
,Asian alone or in combination,77,45,13,17.4,16.3,29.7,25.7,6,8.3,11.9,14.2,19.7
TEXAS,Total,"17,847","15,403","9,493",53.2,1.1,61.6,1.2,"5,600",31.4,1,36.4,1.2
,Male,"8,742","7,430","4,438",50.8,1.6,59.7,1.7,"2,631",30.1,1.5,35.4,1.7
,Female,"9,105","7,973","5,054",55.5,1.6,63.4,1.6,"2,969",32.6,1.5,37.2,1.6
,White alone,"14,741","12,609","7,858",53.3,1.2,62.3,1.3,"4,631",31.4,1.2,36.7,1.3
,White non-Hispanic alone,"8,452","8,329","5,571",65.9,1.6,66.9,1.6,"3,645",43.1,1.6,43.8,1.6
,Black alone,"2,060","1,993","1,242",60.3,3.9,62.3,4,770,37.4,3.9,38.7,4
,Asian alone,798,567,262,32.9,6.3,46.3,8,126,15.8,4.9,22.2,6.7
,Hispanic (of any race),"6,403","4,376","2,334",36.5,2.9,53.3,3.6,"1,012",15.8,2.2,23.1,3
,White alone or in combination,"14,914","12,774","7,966",53.4,1.2,62.4,1.3,"4,697",31.5,1.1,36.8,1.3
,Black alone or in combination,"2,114","2,047","1,252",59.2,3.9,61.2,3.9,773,36.5,3.8,37.7,3.9
,Asian alone or in combination,802,572,267,33.3,6.3,46.7,8,131,16.3,5,22.9,6.7
UTAH,Total,"1,929","1,800","1,095",56.8,2.3,60.8,2.4,695,36,2.3,38.6,2.4
,Male,958,885,514,53.7,3.3,58.1,3.4,338,35.2,3.2,38.2,3.4
,Female,971,916,581,59.8,3.3,63.4,3.3,357,36.8,3.2,39,3.3
,White alone,"1,811","1,709","1,064",58.8,2.4,62.3,2.4,676,37.4,2.4,39.6,2.5
,White non-Hispanic alone,"1,667","1,640","1,045",62.7,2.5,63.7,2.5,664,39.8,2.5,40.5,2.5
,Black alone,19,9,6,(B),(B),(B),(B),2,(B),(B),(B),(B)
,Asian alone,44,32,15,(B),(B),(B),(B),11,(B),(B),(B),(B)
,Hispanic (of any race),151,71,21,13.7,9.1,29.1,17.5,13,8.9,7.5,18.9,15.1
,White alone or in combination,"1,818","1,717","1,071",58.9,2.4,62.4,2.4,680,37.4,2.4,39.6,2.4
,Black alone or in combination,23,12,9,(B),(B),(B),(B),5,(B),(B),(B),(B)
,Asian alone or in combination,44,32,15,(B),(B),(B),(B),11,(B),(B),(B),(B)
VERMONT,Total,490,481,356,72.7,2.5,74,2.4,265,54,2.8,55,2.8
,Male,238,233,169,71.2,3.6,72.7,3.6,126,53.1,4,54.2,4
,Female,252,248,187,74.1,3.4,75.3,3.4,138,54.9,3.8,55.8,3.9
,White alone,473,467,346,73.2,2.5,74.2,2.5,259,54.7,2.8,55.4,2.8
,White non-Hispanic alone,469,464,345,73.6,2.5,74.3,2.5,257,54.9,2.8,55.4,2.8
,Black alone,4,2,2,(B),(B),(B),(B),1,(B),(B),(B),(B)
,Asian alone,4,3,1,(B),(B),(B),(B),-,(B),(B),(B),(B)
,Hispanic (of any race),4,2,1,(B),(B),(B),(B),1,(B),(B),(B),(B)
,White alone or in combination,481,475,352,73.3,2.5,74.3,2.5,263,54.6,2.8,55.3,2.8
,Black alone or in combination,4,3,3,(B),(B),(B),(B),1,(B),(B),(B),(B)
,Asian alone or in combination,6,5,2,(B),(B),(B),(B),-,(B),(B),(B),(B)
VIRGINIA,Total,"5,873","5,544","3,546",60.4,1.9,64,1.9,"2,257",38.4,1.9,40.7,2
,Male,"2,812","2,632","1,637",58.2,2.8,62.2,2.8,"1,047",37.2,2.7,39.8,2.8
,Female,"3,061","2,913","1,909",62.3,2.6,65.5,2.6,"1,210",39.5,2.6,41.5,2.7
,White alone,"4,266","4,095","2,775",65,2.2,67.8,2.2,"1,780",41.7,2.3,43.5,2.3
,White non-Hispanic alone,"3,955","3,874","2,693",68.1,2.2,69.5,2.2,"1,738",43.9,2.4,44.9,2.4
,Black alone,"1,104","1,041",536,48.5,5.4,51.4,5.6,370,33.6,5.1,35.6,5.4
,Asian alone,363,269,156,43,9.8,58.1,11.3,61,16.8,7.4,22.7,9.6
,Hispanic (of any race),369,254,88,23.8,10.4,34.6,14,48,13,8.2,18.9,11.5
,White alone or in combination,"4,348","4,176","2,824",64.9,2.2,67.6,2.2,"1,811",41.6,2.2,43.4,2.3
,Black alone or in combination,"1,167","1,104",575,49.3,5.3,52,5.4,392,33.6,5,35.5,5.2
,Asian alone or in combination,392,297,180,46,9.5,60.6,10.7,75,19.2,7.5,25.4,9.5
WASHINGTON,Total,"5,095","4,637","3,367",66.1,2,72.6,2,"2,692",52.8,2.1,58.1,2.2
,Male,"2,501","2,266","1,604",64.1,2.9,70.8,2.9,"1,289",51.6,3,56.9,3.2
,Female,"2,595","2,370","1,763",68,2.8,74.4,2.7,"1,403",54.1,3,59.2,3.1
,White alone,"4,366","4,085","3,028",69.3,2.1,74.1,2.1,"2,479",56.8,2.3,60.7,2.3
,White non-Hispanic alone,"3,942","3,844","2,921",74.1,2.1,76,2.1,"2,405",61,2.4,62.6,2.4
,Black alone,157,134,60,38.1,14.2,44.8,15.8,47,30,13.4,35.3,15.2
,Asian alone,375,237,141,37.7,9.6,59.6,12.2,92,24.5,8.5,38.7,12.1
,Hispanic (of any race),461,259,110,23.8,9.5,42.4,14.6,77,16.7,8.3,29.8,13.5
,White alone or in combination,"4,506","4,215","3,128",69.4,2.1,74.2,2,"2,527",56.1,2.2,60,2.3
,Black alone or in combination,190,167,85,44.9,13.2,51.2,14.2,49,25.9,11.7,29.5,13
,Asian alone or in combination,430,292,189,44,9.2,64.8,10.7,127,29.6,8.4,43.5,11.1
WEST VIRGINIA,Total,"1,420","1,418",883,62.2,2.3,62.3,2.3,581,40.9,2.3,41,2.3
,Male,686,685,406,59.2,3.4,59.3,3.4,266,38.8,3.3,38.8,3.3
,Female,734,733,477,65,3.2,65.1,3.2,315,42.9,3.3,43,3.3
,White alone,"1,360","1,359",857,63.1,2.4,63.1,2.4,561,41.2,2.4,41.3,2.4
,White non-Hispanic alone,"1,355","1,354",856,63.1,2.4,63.2,2.4,559,41.2,2.4,41.3,2.4
,Black alone,48,48,22,(B),(B),(B),(B),18,(B),(B),(B),(B)
,Asian alone,4,3,-,(B),(B),(B),(B),-,(B),(B),(B),(B)
,Hispanic (of any race),5,5,2,(B),(B),(B),(B),2,(B),(B),(B),(B)
,White alone or in combination,"1,365","1,364",860,63,2.4,63,2.4,562,41.1,2.4,41.2,2.4
,Black alone or in combination,50,50,22,(B),(B),(B),(B),18,(B),(B),(B),(B)
