Table with row headers in column A and column headers in row 4.,,,,,,,,,,,,,,,,,,,,
"Table 4b.  Reported Voting and Registration, by Sex, Race and Hispanic Origin, for States: November 2014",,,,,,,,,,,,,,,,,,,,
(in thousands),,,,,,,,,,,,,,,,,,,,
State,Race and Hispanic origin,Total Population,Total Citizen Population,Total registered,"Percent registered
(Total)",Margin of Error1,"Percent registered
(Citizen)",Margin of Error,Total voted,"Percent voted
(Total)",Margin of Error,"Percent voted
(Citizen)",Margin of Error,,,,,,,
,Male,"2,135","1,947","1,378",64.6,3.2,70.8,3.2,938,43.9,3.3,48.2,3.5,,,,,,,
,Female,"2,407","2,201","1,617",67.2,2.9,73.5,2.9,"1,090",45.3,3.1,49.6,3.3,,,,,,,
,White alone,"2,752","2,613","1,941",70.5,2.7,74.3,2.6,"1,345",48.9,2.9,51.5,3.0,,,,,,,
,.White non-Hispanic alone,"2,508","2,480","1,857",74.1,2.7,74.9,2.7,"1,300",51.8,3.1,52.4,3.1,,,,,,,
,Black alone,"1,325","1,208",856,64.6,4.9,70.8,4.8,581,43.8,5.1,48.1,5.3,,,,,,,
,Asian alone,343,231,135,39.4,10.2,58.4,12.5,69,20.2,8.4,30.0,11.7,,,,,,,
,Hispanic (of any race),332,189,120,36.1,12.7,63.6,16.9,58,17.5,10.0,30.8,16.2,,,,,,,
,White alone or in combination,"2,824","2,659","1,983",70.2,2.6,74.6,2.6,"1,363",48.2,2.9,51.2,3.0,,,,,,,
,Black alone or in combination,"1,353","1,236",875,64.7,4.8,70.8,4.8,589,43.5,5.0,47.6,5.3,,,,,,,
,Asian alone or in combination,365,253,152,41.7,10.0,60.2,11.9,79,21.6,8.3,31.2,11.3,,,,,,,
MASSACHUSETTS,Total,"5,279","4,815","3,250",61.6,2.0,67.5,2.0,"2,259",42.8,2.0,46.9,2.1,,,,,,,
,Male,"2,504","2,241","1,485",59.3,2.9,66.3,3.0,"1,036",41.4,2.9,46.2,3.1,,,,,,,
,Female,"2,775","2,574","1,765",63.6,2.7,68.6,2.7,"1,223",44.1,2.8,47.5,2.9,,,,,,,
,White alone,"4,441","4,205","2,980",67.1,2.1,70.9,2.1,"2,117",47.7,2.2,50.4,2.3,,,,,,,
,.White non-Hispanic alone,"4,113","3,969","2,860",69.5,2.1,72.1,2.1,"2,073",50.4,2.3,52.2,2.4,,,,,,,
,Black alone,408,310,141,34.6,8.5,45.4,10.2,80,19.6,7.1,25.7,9.0,,,,,,,
,Asian alone,325,214,85,26.2,9.2,39.8,12.6,37,11.5,6.7,17.4,9.8,,,,,,,
,Hispanic (of any race),462,312,155,33.6,10.3,49.7,13.3,53,11.5,7.0,17.0,10.0,,,,,,,
,White alone or in combination,"4,513","4,268","3,013",66.8,2.1,70.6,2.1,"2,137",47.3,2.2,50.1,2.3,,,,,,,
,Black alone or in combination,454,348,160,35.3,8.1,46.0,9.7,87,19.2,6.7,25.0,8.4,,,,,,,
,Asian alone or in combination,345,234,94,27.2,9.0,40.1,12.1,46,13.3,6.9,19.7,9.8,,,,,,,
MICHIGAN,Total,"7,576","7,246","5,159",68.1,1.6,71.2,1.6,"3,416",45.1,1.7,47.1,1.8,,,,,,,
,Male,"3,615","3,456","2,397",66.3,2.4,69.4,2.4,"1,551",42.9,2.5,44.9,2.5,,,,,,,
,Female,"3,961","3,791","2,762",69.7,2.2,72.9,2.2,"1,864",47.1,2.4,49.2,2.4,,,,,,,
,White alone,"6,164","5,965","4,280",69.4,1.8,71.7,1.8,"2,875",46.6,1.9,48.2,1.9,,,,,,,
,.White non-Hispanic alone,"5,836","5,720","4,128",70.7,1.8,72.2,1.8,"2,808",48.1,2.0,49.1,2.0,,,,,,,
,Black alone,979,965,685,70.0,5.3,71.0,5.3,438,44.8,5.8,45.4,5.8,,,,,,,
,Asian alone,277,177,86,31.2,10.6,48.9,14.3,51,18.4,8.9,28.8,13.0,,,,,,,
,Hispanic (of any race),395,295,179,45.3,11.8,60.6,13.5,82,20.8,9.7,27.8,12.3,,,,,,,
,White alone or in combination,"6,243","6,045","4,344",69.6,1.8,71.9,1.7,"2,905",46.5,1.9,48.1,1.9,,,,,,,
,Black alone or in combination,"1,026","1,012",714,69.6,5.2,70.6,5.2,455,44.4,5.7,45.0,5.7,,,,,,,
,Asian alone or in combination,291,191,93,32.1,10.4,49.0,13.8,58,19.9,8.9,30.4,12.7,,,,,,,
MINNESOTA,Total,"4,104","3,933","2,822",68.8,2.2,71.8,2.2,"2,047",49.9,2.4,52.0,2.4,,,,,,,
,Male,"2,007","1,924","1,346",67.1,3.2,70.0,3.2,974,48.5,3.4,50.6,3.4,,,,,,,
,Female,"2,097","2,009","1,476",70.4,3.0,73.5,3.0,"1,073",51.2,3.3,53.4,3.4,,,,,,,
,White alone,"3,670","3,579","2,667",72.7,2.2,74.5,2.2,"1,958",53.4,2.5,54.7,2.5,,,,,,,
,.White non-Hispanic alone,"3,538","3,517","2,623",74.1,2.2,74.6,2.2,"1,925",54.4,2.5,54.7,2.5,,,,,,,
,Black alone,196,155,83,42.5,12.9,53.6,14.7,34,17.2,9.9,21.7,12.1,,,,,,,
,Asian alone,112,78,34,30.5,16.7,43.7,21.5,29,25.9,15.8,37.1,20.9,,,,,,,
,Hispanic (of any race),183,100,48,26.2,15.5,47.8,23.7,34,18.4,13.6,33.5,22.4,,,,,,,
,White alone or in combination,"3,715","3,624","2,688",72.4,2.2,74.2,2.2,"1,969",53.0,2.5,54.3,2.5,,,,,,,
,Black alone or in combination,220,179,99,45.3,12.3,55.5,13.6,40,18.0,9.5,22.0,11.3,,,,,,,
,Asian alone or in combination,119,85,36,30.3,16.1,42.4,20.5,31,26.0,15.4,36.3,20.0,,,,,,,
MISSISSIPPI,Total,"2,182","2,142","1,628",74.6,2.2,76.0,2.2,907,41.6,2.5,42.3,2.5,,,,,,,
,Male,"1,028","1,008",740,72.0,3.3,73.4,3.3,413,40.2,3.6,41.0,3.7,,,,,,,
,Female,"1,154","1,135",888,77.0,2.9,78.3,2.9,493,42.8,3.4,43.5,3.5,,,,,,,
,White alone,"1,352","1,326",964,71.3,2.9,72.6,2.9,536,39.7,3.1,40.4,3.2,,,,,,,
,.White non-Hispanic alone,"1,308","1,303",948,72.5,2.9,72.8,2.9,525,40.2,3.2,40.3,3.2,,,,,,,
,Black alone,769,768,639,83.2,3.9,83.3,3.9,357,46.4,5.2,46.5,5.2,,,,,,,
,Asian alone,27,21,5,(B),(B),(B),(B),1,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),60,32,17,(B),(B),(B),(B),13,(B),(B),(B),(B),,,,,,,
,White alone or in combination,"1,377","1,344",975,70.8,2.9,72.5,2.9,540,39.2,3.1,40.2,3.2,,,,,,,
,Black alone or in combination,779,773,644,82.6,3.9,83.2,3.8,361,46.3,5.1,46.6,5.1,,,,,,,
,Asian alone or in combination,33,28,11,(B),(B),(B),(B),3,(B),(B),(B),(B),,,,,,,
MISSOURI,Total,"4,505","4,429","3,194",70.9,2.1,72.1,2.1,"1,713",38.0,2.2,38.7,2.2,,,,,,,
,Male,"2,172","2,144","1,514",69.7,3.0,70.6,3.0,863,39.7,3.2,40.3,3.2,,,,,,,
,Female,"2,333","2,285","1,680",72.0,2.8,73.5,2.8,850,36.4,3.0,37.2,3.1,,,,,,,
,White alone,"3,861","3,814","2,788",72.2,2.2,73.1,2.2,"1,497",38.8,2.4,39.2,2.4,,,,,,,
,.White non-Hispanic alone,"3,779","3,773","2,766",73.2,2.2,73.3,2.2,"1,487",39.4,2.4,39.4,2.4,,,,,,,
,Black alone,485,479,325,67.1,7.9,67.9,7.9,177,36.5,8.1,37.0,8.1,,,,,,,
,Asian alone,76,53,39,(B),(B),(B),(B),13,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),88,47,28,(B),(B),(B),(B),15,(B),(B),(B),(B),,,,,,,
,White alone or in combination,"3,917","3,870","2,817",71.9,2.2,72.8,2.2,"1,510",38.6,2.4,39.0,2.4,,,,,,,
,Black alone or in combination,508,503,344,67.7,7.7,68.5,7.7,187,36.7,7.9,37.1,8.0,,,,,,,
,Asian alone or in combination,93,70,48,(B),(B),(B),(B),18,(B),(B),(B),(B),,,,,,,
MONTANA,Total,788,782,506,64.3,2.2,64.8,2.2,391,49.7,2.3,50.1,2.4,,,,,,,
,Male,392,389,250,63.7,3.2,64.2,3.2,191,48.7,3.3,49.0,3.3,,,,,,,
,Female,396,393,257,64.8,3.2,65.4,3.2,201,50.7,3.3,51.1,3.3,,,,,,,
,White alone,728,725,483,66.4,2.3,66.6,2.3,380,52.2,2.4,52.4,2.4,,,,,,,
,.White non-Hispanic alone,714,711,473,66.3,2.3,66.5,2.3,372,52.2,2.5,52.4,2.5,,,,,,,
,Black alone,3,3,3,(B),(B),(B),(B),-,(B),(B),(B),(B),,,,,,,
,Asian alone,5,2,2,(B),(B),(B),(B),2,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),16,16,11,(B),(B),(B),(B),8,(B),(B),(B),(B),,,,,,,
,White alone or in combination,742,739,486,65.5,2.3,65.8,2.3,382,51.5,2.4,51.7,2.4,,,,,,,
,Black alone or in combination,3,3,3,(B),(B),(B),(B),-,(B),(B),(B),(B),,,,,,,
,Asian alone or in combination,5,2,2,(B),(B),(B),(B),2,(B),(B),(B),(B),,,,,,,
NEBRASKA,Total,"1,400","1,306",873,62.4,2.6,66.9,2.6,579,41.4,2.6,44.3,2.8,,,,,,,
,Male,688,635,415,60.3,3.7,65.3,3.8,286,41.6,3.8,45.1,4.0,,,,,,,
,Female,712,671,459,64.4,3.6,68.3,3.6,293,41.1,3.7,43.6,3.8,,,,,,,
,White alone,"1,295","1,222",826,63.8,2.7,67.6,2.7,552,42.6,2.8,45.2,2.9,,,,,,,
,.White non-Hispanic alone,"1,165","1,160",803,69.0,2.7,69.2,2.7,541,46.5,2.9,46.6,2.9,,,,,,,
,Black alone,55,53,36,(B),(B),(B),(B),21,(B),(B),(B),(B),,,,,,,
,Asian alone,22,7,3,(B),(B),(B),(B),-,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),135,65,26,(B),(B),(B),(B),13,(B),(B),(B),(B),,,,,,,
,White alone or in combination,"1,306","1,232",830,63.6,2.7,67.4,2.7,555,42.5,2.7,45.0,2.8,,,,,,,
,Black alone or in combination,65,62,36,(B),(B),(B),(B),21,(B),(B),(B),(B),,,,,,,
,Asian alone or in combination,22,7,3,(B),(B),(B),(B),-,(B),(B),(B),(B),,,,,,,
NEVADA,Total,"2,128","1,858","1,088",51.1,2.6,58.5,2.7,693,32.6,2.4,37.3,2.7,,,,,,,
,Male,"1,055",924,524,49.7,3.7,56.7,3.9,348,33.0,3.4,37.6,3.8,,,,,,,
,Female,"1,073",934,564,52.5,3.6,60.4,3.8,345,32.2,3.4,37.0,3.8,,,,,,,
,White alone,"1,571","1,388",846,53.8,3.0,61.0,3.1,573,36.5,2.9,41.3,3.1,,,,,,,
,.White non-Hispanic alone,"1,143","1,106",690,60.4,3.4,62.4,3.5,488,42.7,3.5,44.1,3.6,,,,,,,
,Black alone,193,191,124,64.6,9.9,65.2,10.0,61,31.6,9.7,31.9,9.7,,,,,,,
,Asian alone,181,130,49,27.2,10.0,38.0,12.8,25,14.0,7.8,19.6,10.5,,,,,,,
,Hispanic (of any race),527,351,189,35.9,7.8,53.9,10.0,97,18.4,6.3,27.6,8.9,,,,,,,
,White alone or in combination,"1,626","1,424",862,53.0,2.9,60.5,3.1,585,36.0,2.8,41.1,3.1,,,,,,,
,Black alone or in combination,203,201,131,64.7,9.7,65.3,9.7,62,30.6,9.3,30.9,9.4,,,,,,,
,Asian alone or in combination,193,142,59,30.6,10.0,41.8,12.5,30,15.7,7.9,21.4,10.4,,,,,,,
NEW HAMPSHIRE,Total,"1,047","1,015",694,66.3,2.4,68.3,2.4,509,48.6,2.6,50.2,2.6,,,,,,,
,Male,512,498,331,64.6,3.5,66.5,3.5,246,48.1,3.7,49.5,3.7,,,,,,,
,Female,535,517,363,67.8,3.4,70.1,3.3,263,49.2,3.6,50.8,3.7,,,,,,,
,White alone,996,977,669,67.1,2.5,68.5,2.5,490,49.2,2.6,50.2,2.7,,,,,,,
,.White non-Hispanic alone,974,957,655,67.2,2.5,68.4,2.5,480,49.3,2.7,50.2,2.7,,,,,,,
,Black alone,15,12,7,(B),(B),(B),(B),4,(B),(B),(B),(B),,,,,,,
,Asian alone,23,13,7,(B),(B),(B),(B),6,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),23,21,15,(B),(B),(B),(B),10,(B),(B),(B),(B),,,,,,,
,White alone or in combination,"1,006",986,676,67.3,2.5,68.6,2.5,496,49.4,2.6,50.3,2.6,,,,,,,
,Black alone or in combination,18,15,9,(B),(B),(B),(B),6,(B),(B),(B),(B),,,,,,,
,Asian alone or in combination,25,15,9,(B),(B),(B),(B),7,(B),(B),(B),(B),,,,,,,
NEW JERSEY,Total,"6,820","5,909","3,919",57.5,1.8,66.3,1.9,"2,151",31.5,1.7,36.4,1.9,,,,,,,
,Male,"3,277","2,825","1,808",55.2,2.6,64.0,2.7,969,29.6,2.4,34.3,2.7,,,,,,,
,Female,"3,543","3,084","2,112",59.6,2.5,68.5,2.5,"1,182",33.4,2.4,38.3,2.6,,,,,,,
,White alone,"5,146","4,645","3,161",61.4,2.0,68.0,2.1,"1,771",34.4,2.0,38.1,2.1,,,,,,,
,.White non-Hispanic alone,"4,036","3,912","2,705",67.0,2.2,69.1,2.2,"1,527",37.8,2.3,39.0,2.3,,,,,,,
,Black alone,953,779,496,52.0,5.9,63.6,6.3,276,29.0,5.4,35.4,6.2,,,,,,,
,Asian alone,641,425,226,35.3,7.2,53.2,9.2,82,12.9,5.0,19.4,7.3,,,,,,,
,Hispanic (of any race),"1,229",805,497,40.4,6.6,61.7,8.1,274,22.3,5.6,34.1,7.9,,,,,,,
,White alone or in combination,"5,194","4,682","3,183",61.3,2.0,68.0,2.1,"1,782",34.3,2.0,38.1,2.1,,,,,,,
,Black alone or in combination,972,798,511,52.5,5.8,64.0,6.2,276,28.4,5.3,34.6,6.1,,,,,,,
,Asian alone or in combination,655,438,237,36.2,7.1,54.1,9.1,93,14.3,5.2,21.3,7.4,,,,,,,
NEW MEXICO,Total,"1,536","1,417",919,59.9,2.3,64.9,2.4,646,42.1,2.3,45.6,2.5,,,,,,,
,Male,739,676,433,58.7,3.4,64.1,3.4,304,41.1,3.4,44.9,3.6,,,,,,,
,Female,797,740,486,61.0,3.2,65.6,3.3,342,42.9,3.3,46.2,3.4,,,,,,,
,White alone,"1,234","1,125",753,61.0,2.6,66.9,2.6,546,44.2,2.6,48.5,2.8,,,,,,,
,.White non-Hispanic alone,674,661,479,71.0,3.3,72.4,3.2,374,55.5,3.6,56.5,3.6,,,,,,,
,Black alone,40,39,28,(B),(B),(B),(B),8,(B),(B),(B),(B),,,,,,,
,Asian alone,33,26,13,(B),(B),(B),(B),11,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),601,503,302,50.2,6.0,60.0,6.4,179,29.8,5.5,35.6,6.3,,,,,,,
,White alone or in combination,"1,254","1,144",761,60.7,2.6,66.5,2.6,553,44.1,2.6,48.3,2.8,,,,,,,
,Black alone or in combination,47,46,30,(B),(B),(B),(B),10,(B),(B),(B),(B),,,,,,,
,Asian alone or in combination,35,28,13,(B),(B),(B),(B),11,(B),(B),(B),(B),,,,,,,
NEW YORK,Total,"15,274","13,611","8,078",52.9,1.2,59.4,1.3,"4,680",30.6,1.1,34.4,1.2,,,,,,,
,Male,"7,294","6,460","3,679",50.4,1.8,56.9,1.9,"2,131",29.2,1.6,33.0,1.8,,,,,,,
,Female,"7,980","7,150","4,399",55.1,1.7,61.5,1.8,"2,548",31.9,1.6,35.6,1.7,,,,,,,
,White alone,"11,147","10,287","6,185",55.5,1.4,60.1,1.5,"3,683",33.0,1.4,35.8,1.4,,,,,,,
,.White non-Hispanic alone,"9,385","8,994","5,471",58.3,1.6,60.8,1.6,"3,321",35.4,1.5,36.9,1.6,,,,,,,
,Black alone,"2,581","2,211","1,385",53.7,3.6,62.6,3.8,762,29.5,3.3,34.5,3.7,,,,,,,
,Asian alone,"1,206",807,366,30.4,5.1,45.4,6.8,156,13.0,3.7,19.3,5.4,,,,,,,
,Hispanic (of any race),"2,394","1,784",995,41.6,4.8,55.8,5.7,502,21.0,4.0,28.1,5.1,,,,,,,
,White alone or in combination,"11,351","10,476","6,262",55.2,1.4,59.8,1.5,"3,730",32.9,1.4,35.6,1.4,,,,,,,
,Black alone or in combination,"2,734","2,342","1,454",53.2,3.5,62.1,3.7,799,29.2,3.2,34.1,3.6,,,,,,,
,Asian alone or in combination,"1,269",867,392,30.9,5.0,45.2,6.5,175,13.8,3.7,20.2,5.3,,,,,,,
NORTH CAROLINA,Total,"7,412","6,857","4,779",64.5,1.7,69.7,1.7,"3,170",42.8,1.8,46.2,1.8,,,,,,,
,Male,"3,510","3,204","2,178",62.0,2.5,68.0,2.5,"1,428",40.7,2.5,44.6,2.7,,,,,,,
,Female,"3,902","3,654","2,601",66.7,2.3,71.2,2.3,"1,742",44.6,2.4,47.7,2.5,,,,,,,
,White alone,"5,415","5,004","3,545",65.5,2.0,70.9,2.0,"2,325",42.9,2.1,46.5,2.2,,,,,,,
,.White non-Hispanic alone,"4,878","4,852","3,461",71.0,2.0,71.3,2.0,"2,290",46.9,2.2,47.2,2.2,,,,,,,
,Black alone,"1,572","1,527","1,040",66.1,4.4,68.1,4.4,735,46.7,4.6,48.1,4.7,,,,,,,
,Asian alone,190,99,59,30.8,12.9,59.1,19.0,26,13.5,9.5,25.9,17.0,,,,,,,
,Hispanic (of any race),602,204,107,17.7,7.5,52.3,16.8,53,8.8,5.5,26.0,14.7,,,,,,,
,White alone or in combination,"5,492","5,081","3,598",65.5,2.0,70.8,1.9,"2,365",43.1,2.0,46.5,2.1,,,,,,,
,Black alone or in combination,"1,628","1,583","1,070",65.7,4.3,67.6,4.3,761,46.7,4.6,48.1,4.6,,,,,,,
,Asian alone or in combination,198,107,62,31.6,12.7,58.5,18.4,29,14.9,9.8,27.6,16.7,,,,,,,
NORTH DAKOTA,Total,567,547,363,64.1,2.4,66.4,2.4,279,49.2,2.5,51.0,2.5,,,,,,,
,Male,290,279,180,61.9,3.4,64.4,3.4,136,46.7,3.5,48.6,3.6,,,,,,,
,Female,276,268,183,66.3,3.4,68.5,3.4,143,51.8,3.6,53.5,3.6,,,,,,,
,White alone,516,508,345,66.8,2.5,67.9,2.5,266,51.5,2.6,52.3,2.6,,,,,,,
,.White non-Hispanic alone,501,497,342,68.2,2.5,68.7,2.5,264,52.7,2.7,53.2,2.7,,,,,,,
,Black alone,10,6,2,(B),(B),(B),(B),2,(B),(B),(B),(B),,,,,,,
,Asian alone,10,3,1,(B),(B),(B),(B),1,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),19,14,5,(B),(B),(B),(B),2,(B),(B),(B),(B),,,,,,,
,White alone or in combination,526,517,351,66.7,2.4,67.8,2.4,270,51.4,2.6,52.3,2.6,,,,,,,
,Black alone or in combination,11,6,3,(B),(B),(B),(B),2,(B),(B),(B),(B),,,,,,,
,Asian alone or in combination,14,7,4,(B),(B),(B),(B),4,(B),(B),(B),(B),,,,,,,
OHIO,Total,"8,772","8,509","5,657",64.5,1.5,66.5,1.5,"3,378",38.5,1.6,39.7,1.6,,,,,,,
,Male,"4,197","4,081","2,640",62.9,2.2,64.7,2.3,"1,616",38.5,2.3,39.6,2.3,,,,,,,
,Female,"4,575","4,428","3,018",66.0,2.1,68.2,2.1,"1,762",38.5,2.2,39.8,2.2,,,,,,,
,White alone,"7,404","7,289","4,869",65.8,1.7,66.8,1.7,"2,898",39.1,1.7,39.8,1.7,,,,,,,
,.White non-Hispanic alone,"7,235","7,155","4,787",66.2,1.7,66.9,1.7,"2,873",39.7,1.7,40.2,1.7,,,,,,,
,Black alone,"1,024",991,680,66.4,5.4,68.7,5.4,403,39.4,5.6,40.7,5.7,,,,,,,
,Asian alone,231,116,70,30.2,11.5,60.3,17.3,44,19.1,9.8,38.1,17.2,,,,,,,
,Hispanic (of any race),192,157,93,48.3,17.1,58.9,18.6,36,19.0,13.4,23.1,15.9,,,,,,,
,White alone or in combination,"7,501","7,386","4,892",65.2,1.7,66.2,1.7,"2,918",38.9,1.7,39.5,1.7,,,,,,,
,Black alone or in combination,"1,089","1,055",695,63.8,5.3,65.8,5.3,414,38.0,5.4,39.2,5.5,,,,,,,
,Asian alone or in combination,259,144,80,30.7,10.9,55.3,15.8,54,20.8,9.6,37.5,15.4,,,,,,,
OKLAHOMA,Total,"2,851","2,690","1,644",57.7,2.7,61.1,2.7,920,32.3,2.5,34.2,2.7,,,,,,,
,Male,"1,394","1,296",753,54.1,3.9,58.1,4.0,418,30.0,3.6,32.3,3.8,,,,,,,
,Female,"1,457","1,394",890,61.1,3.7,63.9,3.7,502,34.4,3.6,36.0,3.7,,,,,,,
,White alone,"2,262","2,149","1,343",59.4,3.0,62.5,3.0,751,33.2,2.9,35.0,3.0,,,,,,,
,.White non-Hispanic alone,"2,038","2,027","1,286",63.1,3.1,63.4,3.1,733,35.9,3.1,36.1,3.1,,,,,,,
,Black alone,192,190,96,49.7,12.7,50.3,12.8,56,29.2,11.5,29.6,11.6,,,,,,,
,Asian alone,65,24,17,(B),(B),(B),(B),8,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),267,156,84,31.3,12.9,53.8,18.2,28,10.5,8.6,18.0,14.1,,,,,,,
,White alone or in combination,"2,403","2,290","1,425",59.3,2.9,62.2,2.9,795,33.1,2.8,34.7,2.9,,,,,,,
,Black alone or in combination,203,200,100,49.4,12.3,50.0,12.4,59,29.1,11.2,29.5,11.3,,,,,,,
,Asian alone or in combination,71,30,21,(B),(B),(B),(B),10,(B),(B),(B),(B),,,,,,,
OREGON,Total,"3,078","2,870","2,008",65.2,2.5,70.0,2.5,"1,594",51.8,2.6,55.5,2.7,,,,,,,
,Male,"1,512","1,394",950,62.8,3.6,68.1,3.6,741,49.0,3.7,53.2,3.9,,,,,,,
,Female,"1,566","1,475","1,058",67.6,3.4,71.7,3.4,852,54.4,3.6,57.8,3.7,,,,,,,
,White alone,"2,768","2,608","1,861",67.2,2.6,71.4,2.6,"1,510",54.5,2.7,57.9,2.8,,,,,,,
,.White non-Hispanic alone,"2,475","2,448","1,770",71.5,2.6,72.3,2.6,"1,458",58.9,2.9,59.5,2.9,,,,,,,
,Black alone,56,50,29,(B),(B),(B),(B),14,(B),(B),(B),(B),,,,,,,
,Asian alone,123,99,47,38.7,16.1,48.0,18.4,24,19.7,13.1,24.4,15.8,,,,,,,
,Hispanic (of any race),322,184,106,33.1,11.9,57.7,16.5,62,19.2,10.0,33.6,15.8,,,,,,,
,White alone or in combination,"2,839","2,675","1,900",66.9,2.6,71.0,2.5,"1,537",54.1,2.7,57.5,2.8,,,,,,,
,Black alone or in combination,63,53,29,(B),(B),(B),(B),14,(B),(B),(B),(B),,,,,,,
,Asian alone or in combination,125,102,50,40.0,16.0,49.3,18.1,27,21.4,13.4,26.4,16.0,,,,,,,
PENNSYLVANIA,Total,"9,924","9,511","6,121",61.7,1.5,64.4,1.5,"3,803",38.3,1.5,40.0,1.5,,,,,,,
,Male,"4,779","4,571","2,845",59.5,2.1,62.2,2.2,"1,768",37.0,2.1,38.7,2.2,,,,,,,
,Female,"5,145","4,940","3,276",63.7,2.0,66.3,2.0,"2,035",39.6,2.1,41.2,2.1,,,,,,,
,White alone,"8,451","8,291","5,452",64.5,1.6,65.8,1.6,"3,375",39.9,1.6,40.7,1.6,,,,,,,
,.White non-Hispanic alone,"8,015","7,934","5,252",65.5,1.6,66.2,1.6,"3,272",40.8,1.7,41.2,1.7,,,,,,,
,Black alone,"1,001",920,492,49.2,5.8,53.5,6.0,341,34.1,5.5,37.1,5.8,,,,,,,
,Asian alone,295,165,93,31.7,10.4,56.6,14.8,46,15.6,8.1,27.9,13.4,,,,,,,
,Hispanic (of any race),689,540,260,37.7,8.8,48.1,10.2,119,17.3,6.8,22.1,8.5,,,,,,,
,White alone or in combination,"8,600","8,398","5,519",64.2,1.6,65.7,1.6,"3,416",39.7,1.6,40.7,1.6,,,,,,,
,Black alone or in combination,"1,076",984,513,47.6,5.6,52.1,5.8,341,31.7,5.2,34.7,5.6,,,,,,,
,Asian alone or in combination,322,192,121,37.4,10.3,62.8,13.3,73,22.7,8.9,38.1,13.4,,,,,,,
RHODE ISLAND,Total,819,765,486,59.4,2.6,63.6,2.6,331,40.4,2.5,43.3,2.7,,,,,,,
,Male,387,362,231,59.6,3.7,63.7,3.8,154,39.9,3.7,42.6,3.9,,,,,,,
,Female,432,403,255,59.2,3.5,63.4,3.6,177,41.0,3.5,43.9,3.7,,,,,,,
,White alone,717,680,451,62.9,2.7,66.3,2.7,311,43.4,2.8,45.7,2.8,,,,,,,
,.White non-Hispanic alone,659,647,434,65.8,2.7,67.0,2.7,302,45.8,2.9,46.6,2.9,,,,,,,
,Black alone,55,47,28,(B),(B),(B),(B),16,(B),(B),(B),(B),,,,,,,
,Asian alone,23,15,1,(B),(B),(B),(B),-,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),75,45,22,(B),(B),(B),(B),13,(B),(B),(B),(B),,,,,,,
,White alone or in combination,736,697,455,61.9,2.7,65.3,2.7,313,42.6,2.7,44.9,2.8,,,,,,,
,Black alone or in combination,69,61,32,(B),(B),(B),(B),18,(B),(B),(B),(B),,,,,,,
,Asian alone or in combination,24,16,2,(B),(B),(B),(B),1,(B),(B),(B),(B),,,,,,,
SOUTH CAROLINA,Total,"3,667","3,569","2,458",67.0,2.3,68.9,2.3,"1,514",41.3,2.4,42.4,2.5,,,,,,,
,Male,"1,730","1,678","1,132",65.5,3.4,67.5,3.4,699,40.4,3.5,41.6,3.6,,,,,,,
,Female,"1,937","1,891","1,325",68.4,3.1,70.1,3.1,815,42.0,3.3,43.1,3.4,,,,,,,
,White alone,"2,622","2,557","1,778",67.8,2.7,69.6,2.7,"1,075",41.0,2.9,42.0,2.9,,,,,,,
,.White non-Hispanic alone,"2,477","2,454","1,730",69.9,2.7,70.5,2.7,"1,061",42.8,3.0,43.2,3.0,,,,,,,
,Black alone,965,944,640,66.3,5.5,67.9,5.5,419,43.4,5.7,44.4,5.8,,,,,,,
,Asian alone,50,38,18,(B),(B),(B),(B),13,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),171,106,48,28.1,16.1,45.1,22.5,14,8.1,9.8,13.0,15.2,,,,,,,
,White alone or in combination,"2,632","2,568","1,787",67.9,2.7,69.6,2.7,"1,075",40.8,2.8,41.9,2.9,,,,,,,
,Black alone or in combination,978,956,652,66.7,5.4,68.3,5.4,426,43.6,5.7,44.5,5.8,,,,,,,
,Asian alone or in combination,53,42,21,(B),(B),(B),(B),16,(B),(B),(B),(B),,,,,,,
SOUTH DAKOTA,Total,625,618,401,64.2,2.6,64.9,2.6,273,43.7,2.7,44.1,2.7,,,,,,,
,Male,308,304,189,61.4,3.7,62.1,3.7,132,42.8,3.8,43.3,3.8,,,,,,,
,Female,317,314,212,67.0,3.6,67.7,3.6,141,44.5,3.8,45.0,3.8,,,,,,,
,White alone,562,558,369,65.7,2.7,66.1,2.7,259,46.2,2.8,46.5,2.8,,,,,,,
,.White non-Hispanic alone,551,549,367,66.6,2.7,66.8,2.7,259,46.9,2.9,47.0,2.9,,,,,,,
,Black alone,12,11,5,(B),(B),(B),(B),3,(B),(B),(B),(B),,,,,,,
,Asian alone,4,1,-,(B),(B),(B),(B),-,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),12,10,3,(B),(B),(B),(B),-,(B),(B),(B),(B),,,,,,,
